sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116
sub-kLat032,task-ADDT,run-1,0.12931034482758622,NA,0.4468,0.8264,0.4067,0.4512,0.257,0.2511,0.1361,0.0957,0.1526,1.0108,1.8499,1.2464,0.5967,0.1509,0.1249,0.1307,0.0966,0.239,0.2251,0.4757,0.4591,0.3085,0.2635,0.1977,0.2402,0.2474,0.2204,0.2236,0.6506,1.2771,1.8011,0.9046,0.1043,0.1938,0.1351,0.0432,0.0942,0.1404,0.1406,0.7469,1.1763,0.8239,0.2514,0.1697,0.1302,0.2034,0.1172,0.0471,0.1179,0.0804,0.24,0.2481,0.5023,0.9673,1.679,0.9746,0.3764,0.098,0.0423,0.2104,0.1892,0.1863,0.2334,0.4056,0.1259,0.0508,0.2381,0.1512,0.6043,1.4383,1.654,0.7216,0.1891,0.0862,0.124,0.046,0.047,0.0928,0.1131,0.0629,0.1736,0.2265,0.1561,0.1142,0.1115,0.1315,0.1094,0.0434,0.0964,0.6106,0.9176,1.258,1.1636,0.6658,0.6956,0.549,0.2367,0.2297,0.2078,0.8691,1.3294,0.9274,0.8146,0.587,0.2534,0.1902,0.4743,0.295,0.1424,0.0718,0.7071,1.613,3.3498,2.0756,0.4059
sub-kLat010,task-ADDT,run-1,0.13793103448275862,NA,0.1361,0.1483,0.4652,1.0478,0.857,0.5671,0.2945,0.9002,0.6139,0.2522,0.2048,0.2802,0.305,0.1656,0.3657,0.4759,0.2057,0.4417,0.8716,0.898,0.5079,0.3781,0.3384,0.5963,0.406,0.2934,0.1602,0.197,0.0973,0.4164,0.5446,0.6207,0.1218,0.271,0.1378,0.8119,1.2701,1.391,0.6464,0.3722,0.7236,0.2056,0.2476,0.391,0.3636,0.1967,0.3474,0.6038,0.353,0.5523,0.4118,0.3817,0.246,0.6963,1.6921,1.2717,0.9954,0.6801,0.2099,0.3068,1.532,2.975,1.7028,0.1799,0.4139,0.1989,0.3347,0.4853,0.4423,1.252,1.105,0.9271,0.6506,0.2524,0.7023,0.9212,0.5679,0.231,0.23,0.2278,0.3218,0.2184,0.1897,0.562,0.7607,0.561,1.0369,1.3603,1.324,2.5656,1.012,0.5783,0.43,0.8886,0.1789,0.1509,0.127,0.1004,0.0768,0.221,0.5827,0.8394,0.4486,0.1533,0.057,0.205,0.2143,0.1803,0.4222,0.2729,0.3494,0.6261,0.1332,0.8769,1.2331
sub-kLat011,task-ADDT,run-2,0.13793103448275862,NA,0.2201,0.129,0.2607,0.3674,0.4754,0.3593,0.2616,0.3473,0.2613,0.2993,0.2858,0.4977,0.2809,0.6852,0.3394,0.4161,0.6026,0.3404,0.5199,0.3841,0.3669,0.4227,0.2369,0.5269,0.3765,0.5397,0.4983,0.0715,0.1831,0.8277,1.4283,0.8638,0.5007,0.4918,0.1544,0.3442,0.6354,0.6806,0.5286,0.5255,0.7104,0.6266,1.1624,0.683,0.2854,0.1276,0.1363,0.3079,0.41,0.7767,0.3568,0.0981,0.3964,0.6882,0.6041,0.793,0.9243,0.5762,0.6692,0.493,0.6953,0.7819,1.0037,0.3881,0.9496,0.894,0.7534,1.113,0.6841,0.4272,0.2406,0.2402,0.3514,0.3986,0.4319,0.1827,0.3549,0.5711,0.9001,0.5275,0.2462,0.1771,0.7346,1.1645,0.7269,0.8859,0.9205,0.4021,0.2663,0.6055,0.7112,1.0006,0.8042,1.1077,1.1118,1.1816,0.3115,0.4701,1.39,1.791,0.9403,1.3314,0.7741,0.4255,1.4573,1.1995,0.5886,0.1895,0.3847,0.5643,0.6369,0.8597,0.3502,1.217,1.8823
sub-kLat028,task-ADDT,run-2,0.13793103448275862,NA,0.1505,0.4164,0.6367,0.1679,0.9457,1.8302,0.7574,0.4345,0.9054,0.8904,0.4193,0.2402,0.2539,0.373,0.5152,0.1189,0.28,0.3808,0.7949,0.0737,0.1479,0.1295,0.1699,0.4348,0.3695,0.6335,0.2142,0.1574,0.1626,0.1092,0.3594,0.1128,0.0945,0.1385,0.2889,0.4094,0.7317,0.4052,0.5443,0.548,6.4849,10.2378,3.747,0.8968,2.5439,1.0452,2.6052,0.6459,0.5408,0.7419,0.2509,0.1474,0.313,0.6572,0.2712,0.2772,0.39,0.462,0.3881,0.1967,0.0908,0.3128,0.4962,0.2017,0.199,0.3764,0.2199,0.2157,0.3799,0.8766,0.8338,0.7204,0.4011,0.7128,0.2709,0.2688,0.3222,0.3917,0.2824,0.1523,0.2758,0.7321,1.4214,0.6503,0.4466,0.6081,0.5397,0.1618,2.6496,4.8406,2.0754,0.4118,0.2679,0.3897,0.5869,0.2316,0.6967,0.5524,0.5066,1.0161,0.5079,0.1205,0.136,0.9881,0.5335,0.7515,0.5873,0.4002,0.4015,0.5669,0.4415,2.3724,2.7913,2.1222,1.0397
sub-kLat028,task-ADDT,run-1,0.14655172413793102,NA,5.3054,19.382,12.5558,0.521,0.9897,2.2455,1.8368,0.36870000000000003,0.131,0.2864,0.2534,0.2892,0.5023,0.3853,0.1938,0.5233,1.1377,1.3864,0.5448,0.2504,0.2922,0.2153,0.0868,0.1612,0.3189,1.3319,2.8505,2.636,1.7176,0.6875,0.2028,1.7807,1.787,0.4832,0.3354,0.6323,0.1666,0.1628,0.243,0.2575,0.1196,0.3917,0.5087,0.4258,0.8646,0.8553,0.2661,0.2872,0.4974,0.6859,0.3757,0.4764,0.3882,0.3384,0.2825,0.4537,0.9108,0.6616,1.791,0.3196,0.6132,0.438,0.9446,1.353,0.5012,0.3109,0.3267,0.4441,0.3073,0.1861,0.5113,0.41,0.2839,0.1574,0.0849,0.2013,0.1439,0.1667,0.6268,0.146,0.3832,0.3003,0.6597,0.4153,0.4697,0.1556,0.3753,0.3862,0.4946,0.3109,0.7992,0.7406,0.5898,0.5935,0.6915,0.1367,0.3835,0.4884,0.4787,0.9145,0.806,0.2168,0.2456,0.3313,0.792,1.294,0.6735,0.624,0.1773,0.7162,1.1671,0.3069,0.5634,0.7177,0.6751
sub-kLat017,task-ADDT,run-2,0.15517241379310345,NA,0.2708,0.4476,0.6276,1.0107,0.8852,0.2636,0.4242,0.1852,0.3988,0.5604,0.4133,0.2964,0.5339,0.7435,0.1019,0.6952,1.4499,1.8606,0.4287,0.5408,0.687,1.1672,0.691,0.4674,0.4796,0.5385,1.0829,0.4461,0.3622,0.7066,0.513,0.3352,0.2189,0.2013,0.1628,0.1461,0.1508,1.0442,2.2644,1.8428,0.7786,0.1236,0.2452,0.2408,0.1475,0.1453,1.0419,1.8129,0.7904,0.3794,0.6104,0.2624,0.6558,0.208,0.1518,0.1697,0.5072,0.1646,0.3598,0.4669,0.3294,0.2429,0.2273,1.2559,2.4606,1.89,1.0808,1.8001,1.0586,0.318,0.3542,0.5517,0.4537,0.5293,0.73,0.7133,0.3878,0.1218,0.569,0.3962,0.1823,0.2687,0.4446,0.4953,0.9293,1.1855,0.5431,0.657,0.8523,0.3876,0.4018,0.5417,0.942,0.5821,0.3602,0.303,0.6633,0.5365,0.344,0.254,0.137,0.1836,0.1408,0.3124,0.6142,0.3942,0.2909,0.2333,0.8915,1.4486,0.8945,0.6677,0.5028,0.6447,0.3136
sub-kLat020,task-ADDT,run-1,0.15517241379310345,NA,0.0875,0.0626,0.1281,0.1968,0.1297,0.1954,0.0938,0.0685,0.0404,0.1063,0.6929,1.2927,0.7129,0.1413,0.2737,0.2326,0.4606,0.1155,0.2674,0.2788,1.0363,1.7939,0.84,0.1088,0.4701,0.1521,0.2074,0.1049,0.0666,0.1405,0.0992,0.1976,0.108,0.083,0.0901,0.1211,0.1547,0.078,0.106,0.1168,0.1119,0.1566,0.1195,0.0834,0.1294,0.1514,0.0901,0.1075,0.0695,0.0565,0.0454,0.0661,0.1335,0.0824,0.3826,0.5666,0.3657,0.11,0.1729,0.0711,0.0989,0.3586,0.6435,0.2991,0.4915,0.8623,0.3274,0.1551,0.4123,0.2313,0.2757,0.3361,0.7497,1.1185,1.2973,0.2618,0.206,0.0826,0.2029,0.1294,0.1503,0.3875,0.1173,1.1579,1.6492,0.7531,1.5626,1.0947,0.7952,0.2385,3.1987,5.3816,2.4843,0.2804,0.3732,0.1785,0.1253,0.5462,2.1607,2.0526,0.634,0.7104,0.5058,0.4458,0.7791,0.6674,0.2664,0.411,0.9597,1.0597,5.8432,7.7839,1.7302,0.5059,0.2808
sub-kLat054,task-ADDT,run-2,0.15517241379310345,NA,0.0949,0.4769,0.623,0.2044,0.5457,0.0888,0.0781,0.0956,0.1662,0.1991,0.04,0.122,0.1362,0.2228,0.1541,0.1642,0.1036,0.0984,0.0376,0.1543,0.1268,0.1662,0.1245,0.278,0.2557,0.1905,0.0753,0.1672,0.0981,1.1061,2.6364,3.1131,0.3554,0.5072,0.409,0.4969,0.1094,0.3866,1.1443,2.0455,0.7023,0.3065,0.508,0.8153,0.9818,0.3597,0.2256,0.7649,1.9124,0.9413,0.2073,0.1397,0.0974,0.2529,0.0734,0.1102,0.3386,0.3344,0.6858,0.6191,0.1082,0.1783,0.124,0.1609,0.1236,0.1743,0.8293,0.9759,0.4127,0.7617,0.3333,0.2215,0.0984,3.3648,3.7697,1.1944,0.4998,0.2612,0.8819,1.8402,1.0797,0.1467,1.0959,1.7775,0.8502,2.6859,5.0192,5.7065,3.0911,0.0884,0.1385,0.4904,0.7584,0.2638,0.1164,0.1104,0.2134,0.373,0.2014,0.2389,0.2209,0.325,0.1757,0.078,0.083,0.0545,0.0766,0.0956,0.7642,1.8342,0.9972,0.3861,0.2849,0.183,0.5194
sub-kLat027,task-ADDT,run-2,0.16379310344827586,NA,0.1517,0.4403,0.7833,0.4237,0.2817,0.0596,0.2126,0.3749,0.7382,0.2136,0.2287,0.3577,0.3876,0.2695,0.8553,1.052,0.2292,0.5121,0.1529,0.1461,0.1017,0.2115,0.1847,0.2048,0.1935,0.315,0.3044,0.1993,0.156,0.4293,0.3459,0.8308,0.5484,0.4492,0.6853,0.5182,0.5936,0.4311,0.3892,0.2771,0.1461,0.428,0.647,0.1723,0.1315,0.3914,0.5101,0.2857,0.2848,0.328,0.2099,0.1672,0.2104,0.4416,0.7143,1.8708,1.7614,0.3951,0.7504,0.639,0.3382,0.5504,0.7491,0.7893,1.7552,2.8689,0.798,0.7916,0.5187,0.6235,0.2712,0.3827,0.8819,1.4719,0.665,1.0988,0.7266,0.4481,0.1916,0.1417,0.5118,0.423,0.7496,0.4272,1.2793,1.5307,1.1127,0.3766,0.2641,0.3099,0.7716,0.131,0.5191,0.3666,0.5828,0.8777,1.0604,0.5817,0.9116,1.1637,0.5829,0.727,0.4735,0.3086,0.5367,1.1025,1.7697,0.8351,0.4439,1.0841,1.0559,1.7099,1.3433,1.2357,0.5144
sub-kLat038,task-ADDT,run-1,0.16379310344827586,NA,0.1148,0.2013,0.2775,0.9139,0.9236,0.2909,0.388,0.5008,0.4796,0.1561,0.213,0.3102,0.8698,0.9052,1.9043,1.4165,1.4541,0.5722,0.432,0.3694,0.2887,0.2253,0.4824,1.1064,0.6985,1.067,1.7783,0.6632,0.0845,0.2323,0.5642,0.265,1.05,1.9612,0.9782,0.5642,0.1716,0.1985,0.8574,1.5466,0.5208,0.2483,0.1888,0.3043,0.6307,0.6877,0.3813,0.3267,0.311,0.318,0.2679,0.2006,0.2499,0.2828,0.1495,0.5285,0.7895,1.5798,0.9737,0.3072,0.1838,0.2559,0.1411,0.0702,0.0919,0.0712,0.139,0.2277,0.0527,0.1356,0.1429,1.2131,1.2889,1.6234,1.3697,0.2312,0.3369,0.8389,0.7206,0.4172,0.2802,0.601,2.5077,1.9926,0.2815,0.2629,0.9564,0.4292,0.2773,0.2171,0.0877,0.1376,1.3816,3.5035,2.0088,0.4811,0.3623,0.1944,0.3138,0.517,0.236,0.1829,0.1924,0.2155,0.3216,0.2584,0.5789,0.8295,0.1858,0.6309,0.0944,0.2015,0.5212,0.2007,0.1577
sub-kLat051,task-ADDT,run-1,0.16379310344827586,NA,0.1479,0.2353,0.1834,0.1858,0.19,0.1178,0.1355,0.063,0.1608,0.1004,0.0399,0.0504,0.0833,0.0453,0.1102,0.5512,0.128,0.0664,0.0961,0.1174,0.2405,0.0638,0.1497,0.0825,0.0878,0.1142,0.0354,0.0905,0.044,0.0347,0.0748,0.142,0.1498,0.0632,0.1064,0.0937,0.086,0.0875,0.0616,0.0707,0.0259,0.0735,0.1186,0.4988,0.3767,0.61240000000000006,0.312,0.2091,0.1065,0.1366,0.6773,0.3198,0.3416,0.8235,1.298,0.6692,0.2868,0.2489,0.1811,0.1099,0.0836,0.1743,0.4413,4.2184,8.5296,6.8279,1.8774,0.7049,1.6194,3.671,3.0772,0.1839,0.2875,0.3598,2.0809,6.8824,13.3384,6.9346,1.1424,0.22,0.1628,0.1296,0.3109,0.2037,0.114,0.0425,0.1299,0.119,0.094,0.0843,0.0575,0.0584,0.253,0.3207,0.7655,0.4333,0.2028,0.1443,0.1602,0.1626,0.093,0.0315,0.1184,1.0168,1.8652,1.1598,0.3782,0.1409,0.2159,0.3109,0.2412,0.8031,3.4863,3.4222,12.069
sub-kLat009,task-ADDT,run-2,0.1724137931034483,NA,0.1188,0.0885,0.0824,0.0953,0.2315,0.3587,0.2523,0.1409,0.0886,0.0456,0.0812,0.127,0.2019,0.324,0.5268,2.6014,3.676,1.0955,0.1932,0.3417,0.6496,0.9936,1.8718,0.8278,0.1763,0.1008,0.507,0.4913,0.2202,0.1244,0.1058,0.1606,0.5636,0.1517,0.3178,0.8409,3.6528,3.0844,0.3201,0.1834,0.3941,0.5695,0.9423,1.4396,1.3415,0.3308,0.2883,0.1893,0.1516,0.2811,0.9267,0.2273,0.4996,0.2306,0.2258,0.1545,0.4458,1.2635,1.2313,0.2429,0.125,0.5194,1.8325,1.4271,0.7695,1.1755,0.9337,0.1769,0.124,0.2977,0.6569,2.2254,1.2666,1.5151,0.4708,0.2478,0.1118,0.2321,0.3613,0.0876,0.2357,0.224,0.1719,0.0862,0.2235,0.1724,0.138,0.6494,1.6076,0.8266,1.9529,3.6328,2.4993,0.4811,0.7712,0.9941,0.3999,0.237,0.1931,0.3618,0.5347,0.188,0.1464,0.1947,0.076,0.1057,0.6008,0.8742,0.566,0.2861,0.4517,0.3847,0.3787,0.2412,0.1724
sub-kLat020,task-ADDT,run-2,0.1724137931034483,NA,0.1734,0.096,0.1181,1.3126,2.3443,1.073,0.0792,0.1133,0.0697,0.1965,0.2113,0.1201,0.1392,0.3989,0.1469,0.0576,0.3229,0.2402,0.1429,0.1103,0.1737,0.1123,0.2116,0.1725,0.4279,0.0873,0.2241,1.1578,2.1948,1.0551,1.0471,0.3046,0.28,0.258,0.3888,0.1144,0.1585,0.7166,0.5949,0.2316,0.1461,0.1854,0.4833,0.223,0.2147,0.1174,0.2167,0.1953,0.2619,0.1594,0.1177,0.1119,0.204,0.1554,0.0808,0.0868,0.1529,0.0795,0.1104,0.1727,0.0731,0.2633,0.2391,0.0921,0.1203,0.1104,0.0942,0.1009,0.0655,0.2401,0.4543,1.1169,0.7165,0.8331,0.6459,0.2109,1.3865,2.443,1.2542,0.3211,2.9074,5.1495,2.5586,0.2345,0.1426,0.1528,0.3959,0.8664,1.52,0.4849,0.1613,0.1581,0.087,0.1769,0.1276,0.0658,0.044,0.0825,0.1393,0.2168,0.6417,1.4312,0.9256,0.5673,0.4235,0.6679,0.3694,0.4703,0.5288,0.2704,4.4038,10.1985,6.6267,1.2901,0.7323
sub-kLat029,task-ADDT,run-1,0.1724137931034483,NA,0.1974,0.3924,0.3104,0.4467,1.1508,0.7341,0.1735,0.1028,0.201,0.205,0.2013,0.1754,0.2555,0.075,0.5259,0.1373,0.1322,0.3013,0.1528,0.2016,0.2154,0.1736,0.2503,0.2505,0.2356,0.1363,0.1661,0.2493,0.1613,0.2804,0.3826,0.9624,0.1811,0.1433,0.5861,0.0549,0.1291,0.1508,0.2042,0.1498,0.4454,0.8745,2.1249,1.9704,0.8799,3.4878,5.48,2.0551,0.3395,0.5123,0.3434,0.1284,0.276,0.1717,0.0518,0.1354,0.1721,0.0968,0.1403,0.2061,0.1377,0.2421,0.1869,0.0742,0.1202,0.1613,0.1981,0.1929,0.1565,0.0528,0.3189,0.4803,0.2394,0.1717,0.2584,0.5292,1.1176,0.9888,0.2208,0.6683,1.5895,1.1743,0.3238,0.2237,0.5232,0.9528,1.2888,0.5502,0.6,0.3986,0.1626,0.7204,2.793,3.8313,5.1473,13.2047,9.3818,0.7742,0.9815,1.4301,2.2537,2.5618,0.5351,0.3663,0.2088,0.5302,2.0665,1.9273,0.4208,0.624,0.2178,0.1415,0.0822,0.4762,0.7002
sub-kLat034,task-ADDT,run-2,0.1810344827586207,NA,0.0913,0.1301,0.3064,0.209,0.0989,0.1119,0.0466,0.1558,0.1551,0.0693,0.1696,0.2387,0.1924,0.1195,0.1233,0.2173,0.1231,0.1295,0.1949,0.1734,0.4291,0.1167,1.2166,2.1959,1.0176,0.3597,0.5176,0.5376,1.4533,1.8574,0.8439,0.5147,0.3193,0.368,0.546,1.0501,0.249,0.5931,0.1414,0.1773,0.189,0.1293,0.1578,0.123,1.2758,4.336,3.6952,0.9863,1.3188,0.3558,0.1227,0.0783,0.1914,0.2468,0.2547,0.1564,2.1036,7.6086,7.7741,1.9507,0.6848,0.2974,0.1437,0.0422,0.2321,0.1681,0.1523,0.094,0.0689,0.2492,0.4089,0.0996,0.1523,0.113,0.0962,0.1892,0.669,0.8541,0.7964,0.1741,0.4391,0.3468,0.3617,0.41,0.2602,0.2132,0.1883,0.2869,0.4151,0.5007,0.6655,0.7657,1.3619,0.4463,0.0861,2.4545,2.9627,2.6245,2.1244,1.7652,1.0821,0.5205,0.3949,0.1854,0.2572,0.4056,0.8754,0.7668,0.8057,0.4964,0.3146,0.1994,0.2544,0.1699,0.5155
sub-kLat050,task-ADDT,run-1,0.1810344827586207,NA,0.259,0.4994,0.2683,0.1439,0.3891,0.6765,0.4053,0.7879,0.1405,0.5961,0.2037,0.2441,0.1325,0.4904,0.8666,0.5527,0.1845,0.6183,0.9765,0.7965,0.99,1.3017,1.0295,0.1638,0.1391,0.1554,0.3236,0.1605,0.965,1.8629,0.7263,0.7286,0.6821,0.5228,0.4602,0.6432,0.9356,1.8926,1.2475,1.1929,2.1377,1.695,0.9251,1.6609,7.55,17.1282,7.083,1.2947,0.534,0.2795,0.4774,0.7583,0.5222,0.7031,0.6401,0.8804,3.5242,6.8693,4.1037,1.3027,0.8113,1.1221,0.3214,0.4179,0.2703,0.1477,0.451,0.1274,0.1048,0.0864,0.2975,0.4774,0.5796,1.3182,1.8243,0.6089,0.7485,0.2312,0.2794,0.5927,1.1554,0.7568,0.1302,0.2126,0.1133,0.0739,0.3735,0.5274,0.3244,0.2682,0.0978,0.2628,0.5645,0.4991,0.7584,0.5915,0.0975,0.2881,0.2256,0.1169,0.1462,0.1929,0.1713,0.3286,0.2782,0.2182,0.099,0.1283,0.1459,0.1267,0.1646,0.1361,0.2571,0.6102,0.5824
sub-kLat040,task-ADDT,run-1,0.1896551724137931,NA,0.3598,0.2578,0.5433,0.5488,0.8504,0.1682,0.2628,0.6952,0.1822,0.3426,0.8235,0.3941,0.4849,0.5107,0.2997,0.9996,1.1242,0.8378,0.5461,0.5264,0.4246,0.9791,0.8272,0.8969,0.8848,0.7332,0.6722,0.7741,0.9328,1.2775,1.0074,0.162,0.4728,0.3711,0.7628,0.6396,0.6567,0.3351,0.6562,0.6004,0.912,0.9507,0.7212,0.2354,0.4812,0.7033,0.2767,0.2448,0.8183,0.9508,0.4688,0.145,0.204,0.2848,0.2462,5.4304,4.8249,5.068,7.7118,7.4578,3.8866,0.6808,1.2101,1.3262,2.2442,1.1282,1.0479,9.5968,2.4302,2.0508,2.3333,3.1792,1.2327,2.2444,0.6753,0.5198,0.9778,0.628,1.3294,0.3592,0.3642,0.5606,0.43,0.5561,0.5508,0.896,0.5845,0.5031,0.5379,0.2727,0.3204,0.6509,0.8166,0.3413,0.4361,0.3648,0.3306,0.1769,0.3346,0.1517,0.3693,0.452,0.1713,0.0841,0.1988,0.2631,0.3118,0.2312,0.2863,0.5576,0.556,0.47,0.5663,0.7573,0.2311
sub-kLat059,task-ADDT,run-1,0.1896551724137931,NA,0.8828,1.3532,0.3562,0.5633,1.1613,0.5278,0.0822,0.0903,0.1264,0.2245,0.0818,0.2493,0.444,1.038,0.7637,1.2814,0.6892,0.1772,0.5268,0.9372,0.9086,0.4644,0.2173,0.3223,0.4422,0.452,0.6595,1.5464,3.6233,2.392,0.4795,0.4094,0.5918,0.3038,0.5248,0.3606,0.5291,1.0772,0.2674,0.2314,1.3252,1.9575,2.3378,2.2365,1.7669,2.2062,3.4454,1.5223,0.3656,0.5578,0.3565,0.212,0.3784,0.4088,0.5721,0.3078,0.2824,0.3204,0.4856,0.3194,0.1485,0.4618,0.5429,0.3701,0.0861,0.1804,0.1977,0.2466,0.4853,0.2963,0.6597,0.1462,0.0992,0.1135,0.375,0.1983,0.2869,0.3455,1.2588,3.2486,3.0718,1.259,0.5436,0.508,0.8025,0.6279,0.6881,0.5508,0.2382,0.3372,0.4979,0.6164,0.4195,0.2439,0.7804,0.3659,0.5027,0.255,0.3162,0.2203,0.393,0.9165,0.7293,0.8633,1.0062,0.7192,1.0707,0.087,0.2827,0.3563,0.4102,0.4907,0.3802,0.5388,0.7353
sub-kLat026,task-ADDT,run-2,0.19827586206896552,NA,0.1697,0.349,0.3177,0.6572,0.1847,0.188,0.4936,0.735,0.233,0.3253,0.1526,0.5535,0.9617,0.4229,0.6888,0.5003,0.5492,0.3185,0.2344,0.366,0.8528,1.1953,0.3381,0.4798,0.5372,0.5387,0.3968,0.5087,0.4819,0.9189,0.4426,1.1778,1.7056,0.4706,0.4662,1.3938,1.2235,0.3673,0.435,0.4652,0.322,1.1986,1.7798,1.2206,0.6904,0.2802,0.2943,0.8625,1.0628,1.3692,1.3212,0.5676,0.384,0.4689,1.1832,0.9982,0.2095,0.2801,0.4766,0.2817,0.3484,0.3834,0.394,0.3338,0.469,0.3121,0.6139,0.1337,0.076,0.0805,0.2274,0.5766,0.8446,0.818,0.7801,0.8576,1.0729,1.1709,1.0343,1.3599,1.2847,1.4409,1.4329,0.7983,0.7535,1.1002,0.6045,0.2371,0.201,0.1506,0.252,0.1451,0.5857,0.8806,0.5105,0.2427,0.4855,0.7364,1.0276,1.3888,0.7353,0.6904,0.7273,0.7201,0.4359,0.382,0.5594,0.3269,0.1784,0.0481,0.2601,0.0853,0.1616,0.7929,1.9733
sub-kLat012,task-ADDT,run-2,0.20689655172413793,NA,0.1722,0.307,0.2255,0.1062,0.2065,0.1564,0.1153,0.2059,0.1534,0.2234,0.2552,0.1543,0.3652,0.6402,0.364,0.1828,0.0881,0.1347,0.175,0.0673,0.1378,0.4878,1.1004,0.6162,0.2494,2.1095,2.5711,1.086,1.8933,0.2292,0.3877,0.301,0.2715,0.2729,0.6046,1.4513,1.0243,0.2447,0.2231,0.9072,1.505,1.1535,0.9569,0.8808,0.7057,0.2501,0.1737,0.2063,0.0867,0.2317,1.7152,2.9956,1.4839,0.384,0.1868,0.1339,0.0819,0.2146,0.522,0.9062,0.4555,1.2235,2.179,1.1284,0.1653,0.2421,0.2815,0.1984,0.3899,1.2145,1.0798,0.5174,0.7745,1.4182,0.558,0.2268,0.0612,0.1306,0.4821,0.2729,0.8413,1.5765,0.9207,0.2396,0.323,0.3419,0.2356,0.1507,0.5617,0.3318,0.4297,0.4732,0.3686,0.4705,0.6466,1.0927,0.6818,0.6797,0.2253,0.1774,0.1248,0.1285,0.2524,0.1906,0.4438,2.5049,2.5803,3.142,3.163,0.2356,0.2435,0.1909,0.2388,0.2008,0.1086
sub-kLat009,task-ADDT,run-1,0.22413793103448276,NA,0.1481,0.1879,0.1663,0.3305,1.315,0.8096,1.1731,0.9112,0.52,0.269,0.2087,0.1363,0.6756,0.8147,2.8138,1.9454,2.9858,1.6266,0.8248,0.8102,0.1537,0.2054,0.2687,0.3742,0.2705,0.6398,0.1648,0.373,0.3527,0.5096,0.2599,0.1664,0.2488,0.2016,0.2221,0.2606,0.2481,0.1525,0.1771,0.5279,0.1704,0.1433,0.3085,1.1434,0.9751,0.3343,0.8832,0.152,0.1087,1.283,1.963,1.3893,0.2611,0.5149,0.9428,0.7315,0.6335,1.3726,0.865,0.1752,0.1012,0.2594,0.222,0.1103,0.1646,0.2409,0.7686,0.3264,0.101,0.1239,0.2536,2.0464,4.0551,1.8961,0.7936,0.5492,2.1767,3.149,1.4687,2.3728,0.7587,0.2555,1.0593,1.3365,0.3198,0.3525,0.5942,0.115,0.1597,0.0653,0.1979,0.1494,0.1716,0.187,0.2612,1.1985,1.5093,4.0237,0.9043,2.1871,1.9194,1.1235,0.2847,0.1944,0.2031,0.3869,0.2968,0.2465,0.1841,0.2787,0.1858,0.1841,0.1475,0.1431,0.1697
sub-kLat011,task-ADDT,run-1,0.2672413793103448,NA,0.1619,0.2026,0.5679,0.6009,0.3537,0.2331,0.4654,0.2069,0.2952,0.3525,0.581,1.1424,0.8474,1.347,0.9251,0.534,0.6631,0.4931,1.5299,1.4692,0.6262,1.0318,0.8817,0.5011,0.8091,0.5004,0.7903,1.084,0.6316,1.0674,0.6238,0.8955,0.6373,0.3251,0.456,0.8423,0.5798,0.2658,0.3613,0.6885,0.5064,0.3886,0.9314,1.8463,1.9867,0.7358,1.4043,1.2759,0.4625,0.8604,0.6917,0.3967,1.0088,1.7102,1.2578,1.0111,0.6304,0.563,0.7403,0.5239,0.9672,0.5889,0.185,0.2924,0.4967,0.1074,0.1133,0.3246,0.3822,0.4793,0.3213,0.7477,0.5953,0.3329,0.937,0.2595,1.2673,1.1609,0.7034,1.0597,0.7547,0.8202,0.347,0.1317,0.9267,1.2415,0.9337,0.6968,0.87,0.8527,0.2631,0.5952,0.6941,1.0503,1.2667,1.316,1.0981,0.9514,1.8357,1.0156,0.2771,0.8007,0.8445,1.195,1.3912,1.1702,0.7155,1.8688,1.9918,1.0477,0.73740000000000006,0.7543,0.2625,0.2312,0.3245
