sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116
sub-kLat056,task-ADDT,run-2,0.05172413793103448,NA,0.3292,0.3021,0.5631,0.2338,0.3947,0.3981,0.0842,0.1455,0.2416,0.1569,0.1308,0.0726,0.1681,0.124,0.1147,0.0947,0.1361,0.1034,0.2009,0.1126,0.08,0.147,0.2049,0.1371,0.1619,0.1179,0.0459,0.187,0.309,0.6369,0.291,0.1156,0.2147,0.1872,0.1942,0.2262,0.2296,0.2329,0.1412,0.0536,0.067,0.0612,0.0788,0.2096,0.3645,0.198,0.4319,0.1577,0.1497,0.1467,0.49370000000000003,0.187,0.5149,0.4114,0.1333,0.2054,0.2204,0.1732,0.283,0.2019,0.1491,0.1301,0.3616,0.1203,0.1023,0.1098,0.0957,0.1625,0.0869,0.0882,0.2715,0.4355,0.3103,0.3589,0.2894,0.105,0.2165,0.203,0.1382,0.1833,0.1131,0.3825,0.0858,0.0645,0.1282,0.3654,0.2496,0.4879,0.4725,0.9308,0.6782,0.406,0.9049,0.5964,0.2036,0.4857,1.0598,0.7344,0.2025,0.0898,4.1377,3.0795,8.056,4.4523,1.0603,0.2315,0.4412,0.3457,0.4248,0.5489,0.2086,0.155,0.2999,0.2427,0.0431
sub-kLat005,task-ADDT,run-1,0.0603448275862069,NA,0.2907,0.5759,0.5446,0.5014,0.3863,0.179,0.8969,2.037,1.0105,0.395,0.3188,0.1828,0.2166,0.1517,0.7342,1.19,0.7825,0.2411,0.1503,0.3206,0.6205,0.6033,0.3254,0.2626,0.7394,1.1323,0.5244,0.1579,0.1831,0.0846,0.0297,0.0835,0.1016,0.1569,0.0801,0.4166,0.4452,0.6235,0.5206,0.2605,0.1756,0.2754,0.3622,0.6953,0.3094,0.3157,0.457,0.2741,0.2281,0.2187,0.451,0.0772,0.1543,0.1295,0.1371,0.549,0.4852,0.5038,0.7913,0.1597,0.2235,0.2211,0.098,0.0712,0.4438,0.191,0.2751,0.1595,0.0888,0.1373,0.1128,0.09,0.0922,0.0759,0.0474,0.1099,0.1211,0.0979,0.1152,0.0782,0.1216,0.0831,0.0865,0.0455,0.0697,0.0623,0.0893,0.2681,0.252,0.4311,0.2845,0.072,0.0639,0.0651,0.3395,0.1012,0.0736,0.0939,0.1181,0.8123,1.0077,0.4214,0.3835,0.2365,0.2171,0.4344,1.7802,2.4722,0.7955,0.7032,0.1938,0.4506,0.0926,0.1346,0.234
sub-kLat034,task-ADDT,run-1,0.0603448275862069,NA,0.1601,0.2276,0.4869,0.4418,0.6149,0.2322,0.2966,0.2282,0.4525,0.1248,0.1275,0.1367,0.0502,0.1567,0.133,0.47,0.3036,0.375,0.3323,0.1137,0.1749,0.2504,0.5032,0.1848,0.0828,0.0876,0.118,0.5096,0.4794,0.7965,0.61,0.0746,0.1356,0.1471,0.1135,0.2625,0.1223,0.287,0.2751,0.4111,0.1101,0.1964,0.3417,0.3552,0.3482,0.2347,0.091,0.1803,0.1787,0.1837,0.2482,0.4501,2.2693,3.8727,5.9866,1.7297,0.1511,0.1268,0.1857,0.2225,0.2979,0.2236,0.1165,0.1596,0.1288,0.1297,0.1774,0.326,0.5383,0.4538,0.6712,0.9924,0.4917,0.2986,0.1743,0.2884,0.3018,0.6492,0.4361,0.3088,0.2334,0.1302,0.0961,0.3616,0.6146,0.6968,0.2485,0.266,0.2317,0.1846,0.0806,0.2269,0.2423,0.1368,0.1219,0.2001,0.1727,0.3676,1.8089,6.0737,4.3105,0.627,0.825,0.3801,0.568,0.9173,0.6451,0.8029,0.9986,0.4875,0.5101,0.1737,0.0957,0.1445,0.2207
sub-kLat021,task-ADDT,run-2,0.06896551724137931,NA,0.3618,0.6196,0.4031,0.0959,0.1858,0.1421,0.1005,0.1236,0.1072,0.0541,0.0842,0.0899,0.3378,0.5378,0.1517,0.2024,0.442,0.1364,0.1756,0.4928,0.1692,0.1867,0.2154,0.4443,0.1372,0.0925,0.0587,0.0693,0.1254,0.0976,0.3249,0.2416,0.3089,0.4476,0.137,0.1235,0.1935,0.1799,0.1547,0.0506,0.0795,0.3836,1.4337,2.6857,1.506,0.2902,0.3029,0.1526,0.1458,0.1227,0.1638,0.0995,0.1363,0.1092,0.1022,0.0632,0.0633,1.2907,21.2043,17.0323,0.5263,0.0856,0.1071,0.0545,0.0782,0.0704,0.1469,0.284,0.2006,0.1996,0.2428,0.126,0.1245,0.2319,0.0747,0.0598,0.1429,0.2067,0.0484,0.0893,0.0991,0.155,0.1585,0.2039,0.0891,0.1034,0.1913,0.2673,0.1684,0.1942,0.1766,0.0872,0.0551,0.1152,0.1394,0.1053,0.147,0.1723,0.0637,0.0772,0.0596,0.2664,0.1931,1.0395,0.747,0.6204,0.91,1.7033,0.3671,0.1322,0.0407,0.3192,0.1784,0.1064,0.275
sub-kLat032,task-ADDT,run-2,0.07758620689655173,NA,0.4048,0.3458,0.719,0.7382,0.2709,0.4157,0.786,0.2861,0.1761,0.1975,0.1122,0.092,0.1581,0.3709,0.2758,0.1149,0.1992,0.1584,0.1376,0.1761,0.1513,0.1529,0.1022,0.0955,0.1371,0.1671,0.2286,0.2672,0.3086,0.1088,0.2498,0.2675,0.1459,0.1571,0.1896,0.0919,0.0838,0.093,0.0962,0.1303,0.1937,0.1629,0.1158,0.2337,0.1407,0.0956,0.2216,0.1569,0.1369,0.2564,0.5478,0.5553,0.4855,0.2932,0.2416,0.1487,0.1678,0.2394,0.1535,0.1598,0.3493,0.3864,0.2383,0.5996,0.3366,0.3275,0.2536,0.209,1.0269,1.3606,0.928,0.5702,0.3718,0.4222,0.2161,0.2413,0.4539,0.1816,0.3462,0.7611,0.2936,0.6967,1.2065,0.6431,0.4743,0.5623,0.1833,0.4366,0.132,0.1842,0.0882,0.117,0.175,0.1491,0.177,0.2028,0.1585,0.214,1.2156,1.3644,0.8613,0.5826,0.4365,0.557,0.2585,0.1501,0.1851,1.1126,1.2258,1.608,1.9524,0.9632,0.4078,0.8771,0.1842
sub-kLat003,task-ADDT,run-1,0.08620689655172414,NA,0.0941,0.1954,0.1674,0.2659,0.2784,0.6638,0.6462,0.2317,0.219,0.8237,1.6396,0.8233,0.1693,0.6411,0.5489,0.293,0.1995,0.1201,0.0702,0.3175,0.5045,0.3452,0.3437,0.3373,0.7267,1.0637,0.6519,0.1438,0.1559,0.2085,0.2364,0.3058,0.1316,0.1624,0.1602,0.2031,0.6981,1.3645,0.7069,0.2888,0.2458,0.4878,0.3161,0.168,0.1195,0.1145,0.1689,0.1515,0.6265,1.4814,1.0808,0.4468,0.3777,0.2818,0.3521,0.7966,0.0889,0.5858,0.6733,0.5844,0.2888,0.2652,0.1189,0.1795,0.4852,0.6906,2.3867,4.8707,2.5274,1.2686,0.545,0.3052,0.4896,0.5824,0.4381,0.3598,0.2861,0.3754,0.647,0.7782,1.0365,0.6185,0.0718,0.1709,0.6285,0.6236,0.1502,0.1491,0.1241,0.1067,0.2239,0.183,0.3943,0.2749,0.1682,0.1792,0.4205,0.7341,0.4209,0.1623,0.0816,0.0711,0.1218,0.0342,0.0795,0.2191,0.2418,0.2125,0.2448,0.2533,0.7405,0.4115,0.5361,0.1883,0.16
sub-kLat022,task-ADDT,run-1,0.08620689655172414,NA,0.1393,0.2995,0.0705,0.2033,0.2808,0.217,0.1923,0.1083,0.0644,0.1049,0.0794,0.0434,0.0806,0.5068,0.2934,0.6259,0.8433,1.5763,0.2431,0.2037,0.2734,0.481,0.7061,0.1163,0.5436,1.3903,1.0962,0.1709,0.1628,0.2642,0.0991,0.2122,0.1841,0.4037,0.147,0.1704,0.2021,0.1496,0.0778,0.0901,0.3472,0.1232,0.1284,0.4489,2.368,1.9137,0.6327,0.3522,0.8282,0.3926,0.6186,1.9765,1.3848,0.1597,0.1003,0.1127,0.1868,0.1442,0.0955,0.0456,0.415,0.9807,0.7884,0.1497,0.5121,0.0763,0.1963,0.1967,0.8258,0.4194,0.8367,1.1335,0.634,0.2169,0.2463,0.3408,0.3142,0.1825,0.3393,0.983,0.9462,0.218,0.1541,0.0821,0.6883,1.7105,1.297,0.4718,0.4882,0.7025,0.3431,0.1601,0.3399,0.2447,0.1551,0.0644,0.1721,0.179,0.5943,0.4187,0.2077,0.1178,0.1302,0.2597,0.2615,0.3604,0.5759,0.0851,0.1314,0.1229,0.0683,0.1179,0.0311,0.0652,0.0808
sub-kLat014,task-ADDT,run-3,0.10344827586206896,NA,0.1092,0.1033,0.1159,0.2365,0.1429,0.0774,0.1777,0.3055,0.2453,0.3803,0.1292,0.1906,0.2152,0.1049,0.0859,0.1022,0.1627,0.1265,0.1892,0.1874,0.361,0.3738,0.1938,0.1635,0.1596,0.2463,0.2646,0.2991,0.0691,0.0909,0.4509,0.1063,0.0975,0.3941,1.0193,0.3892,0.1298,0.3187,0.7408,0.5651,0.1548,0.1169,0.2261,0.5001,0.4148,0.1076,0.2222,0.1545,0.1746,0.1911,0.2471,0.3452,0.7279,0.4339,0.3399,0.3987,0.494,0.1942,0.2082,0.1846,0.3761,0.108,0.1881,0.0684,0.2066,0.5353,0.3863,0.211,0.1743,0.4799,0.1305,0.1788,0.1386,0.066,0.0815,0.1082,0.1978,0.4537,0.9663,0.4232,0.1077,0.4724,0.6841,0.0984,0.1038,0.3965,1.4287,1.3443,0.7355,0.2947,4.4731,6.1942,2.0944,0.6661,0.3135,0.1653,0.1293,0.342,0.3096,20.4648,15.9779,1.3412,0.3505,0.6218,0.5134,0.2121,0.9687,0.5238,13.468,9.2038,1.2511,0.8605,0.2065,0.8626,0.1694
sub-kLat054,task-ADDT,run-1,0.10344827586206896,NA,0.0657,0.2025,0.2609,0.3044,0.2457,0.1929,0.1941,0.1264,0.1255,0.1413,0.094,0.0859,0.0839,0.1181,0.1298,0.0678,0.0708,0.1052,0.1255,0.1552,0.1731,0.0602,0.0831,0.1208,0.195,0.2295,0.1604,0.1015,0.0411,0.1667,0.2421,0.7269,0.1989,0.1257,0.4724,0.1054,0.0737,0.2832,0.1301,0.2258,0.1591,0.1182,5.682,8.5122,1.8213,4.2717,0.7077,0.277,0.217,0.1337,0.0684,0.1154,0.1582,0.1595,0.2286,0.1377,0.2065,0.73740000000000006,0.1206,0.7039,0.3447,0.6628,0.1504,0.5808,0.0929,0.1779,0.1161,0.1443,0.369,0.1579,0.1299,0.189,0.4948,1.0657,1.0448,1.1554,0.8737,0.234,0.1349,0.2761,0.7264,1.3146,0.8718,0.2472,0.1114,0.2619,0.4932,0.6458,0.9554,0.5289,0.1763,0.9993,1.8254,1.1561,0.1654,0.1585,0.0856,0.1365,0.3045,0.5348,0.1033,0.0923,0.1104,0.1999,0.111,0.1768,0.1576,0.1875,0.7185,1.3878,2.2744,0.998,0.2484,0.2355,0.0892
sub-kLat013,task-ADDT,run-1,0.1206896551724138,NA,0.0307,0.1505,1.3827,1.9424,1.4041,0.3883,0.2244,0.3337,0.1126,0.1938,0.1245,0.0972,0.1714,0.6376,0.0878,0.2533,0.1235,2.188,4.3989,2.1143,0.3008,0.1491,0.1111,0.1192,0.1806,0.1658,0.26,0.553,0.1123,0.0962,0.0359,0.0812,0.0457,0.1735,0.1306,0.1902,0.5794,0.4523,0.2461,0.101,0.0835,0.1846,0.2041,0.1732,0.2267,0.2832,0.2003,0.1877,0.2801,0.5057,1.2242,0.8973,0.8438,1.1946,1.4928,0.7605,0.217,0.3884,0.3228,0.283,0.4867,1.0203,0.7174,0.3559,0.2691,0.2479,0.2964,1.3481,2.3854,1.2137,0.3198,0.1711,0.1637,0.1264,0.2059,0.0956,0.1446,0.1955,0.1823,0.0754,0.1154,0.0722,0.1185,0.307,0.8404,0.0639,0.0503,0.0714,0.1963,0.1332,0.5222,0.0555,0.05,0.2476,0.3184,0.4781,0.6121,0.4819,0.2318,0.2098,0.1456,0.198,0.6629,1.0542,0.2662,0.1776,0.1427,0.1179,0.1137,0.1475,0.1479,0.1385,0.0695,0.1289,0.5026
