sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60
sub-kLat008,task-sline,run-2,0,NA,0.4213,0.73,0.3147,0.0903,0.1709,0.3506,0.3644,0.7246,0.2425,0.2484,0.4921,0.0899,0.0731,0.0281,0.3332,0.1217,0.1572,0.2075,0.1683,0.1867,0.0879,0.1047,0.0829,0.1296,0.0982,0.0263,0.022,0.0961,0.4902,0.2481,0.3838,0.4821,0.3996,0.5492,0.379,0.093,0.1498,0.3858,0.0765,0.0788,0.0997,0.1294,0.0998,0.1568,0.142,0.0801,0.1452,0.0644,0.0461,0.1139,0.4813,0.0592,0.1508,0.1073,0.0689,0.0454,0.1208,0.1676,0.2139
sub-kLat008,task-sline,run-3,0,NA,0.1507,0.2853,0.3615,0.1821,0.1493,0.0738,0.3868,0.0993,0.0526,0.0309,0.1823,0.1742,0.0824,0.0607,0.2278,0.3501,0.356,0.3903,0.107,0.1114,0.1348,0.0626,0.1932,0.3897,0.0838,0.0468,0.0767,0.091,0.2782,0.6668,0.7265,0.3632,0.3336,0.0503,0.1356,0.3303,0.1197,0.0645,0.1101,0.0982,0.0255,0.1018,0.1219,0.1085,0.1478,0.1892,0.1949,0.3582,0.262,0.1509,0.0712,0.0617,0.0839,0.0916,0.4243,0.0688,0.0527,0.122,0.072
sub-kLat013,task-sline,run-2,0,NA,0.1723,0.1843,0.2463,0.1723,0.1417,0.1567,0.1121,0.0892,0.3471,0.4989,0.099,0.1575,0.361,0.2652,0.5624,0.1806,0.4335,0.2476,0.2055,0.5476,0.4933,0.246,0.1936,0.1762,0.1052,0.1198,0.0563,0.068,0.5433,0.2587,0.7382,0.862,0.678,0.1949,0.2726,0.2141,0.6046,0.4477,0.4454,0.2261,0.1074,0.0614,0.1005,0.3152,0.1535,0.1122,0.1041,0.0777,0.1998,0.1515,0.1203,0.30620000000000003,0.4417,0.6702,0.2129,0.1273,0.1251,0.064,0.1337
sub-kLat016,task-sline,run-4,0,NA,0.1481,0.1902,0.4282,0.1315,0.2958,0.272,0.53,0.2206,0.4161,0.0794,0.0429,0.1115,0.133,0.2104,0.1543,0.1375,0.1763,0.4377,0.0594,0.0493,0.0789,0.0915,0.0581,0.0755,0.1436,0.114,0.2124,0.1708,0.1993,0.3027,0.2186,0.076,0.0847,0.108,0.1299,0.0875,0.2332,0.1961,0.1747,0.5074,0.1406,0.0742,0.27,0.4447,0.1919,0.3511,0.7996,0.1725,0.1285,0.0813,0.0908,0.0618,0.0728,0.0841,0.1,0.0736,0.1034,0.0784,0.0947
sub-kLat023,task-sline,run-1,0,NA,0.111,0.1566,0.2693,0.1318,0.0789,0.0653,0.0566,0.0201,0.0717,0.1744,0.1362,0.0621,0.3393,0.1138,0.6768,0.8419,0.3453,0.2966,0.4502,0.3127,0.0291,0.0544,0.1068,0.4381,0.5609,0.303,0.1129,0.0658,0.0848,0.0469,0.0956,0.107,0.1188,0.0746,0.0611,0.1012,0.1191,0.0934,0.0544,0.0835,0.1092,0.1914,0.1081,0.1341,0.0817,0.4498,0.265,0.4105,0.6576,0.1727,0.0687,0.0953,0.3147,0.1287,0.1888,0.1376,0.0942,0.1321,0.1812
sub-kLat023,task-sline,run-3,0,NA,0.2327,0.3872,0.3268,0.2433,0.3374,0.0401,0.1253,0.095,0.0283,0.0577,0.0574,0.0741,0.0343,0.1588,0.2353,0.235,0.0729,0.0785,0.2652,0.3852,0.2022,0.1412,0.3642,0.0435,0.0271,0.0456,0.0521,0.1641,0.2323,0.1695,0.6399,0.474,0.4782,0.6177,0.2524,0.3251,0.2275,0.1419,0.0489,0.0676,0.1501,0.1948,0.1003,0.1693,0.3405,0.8642,0.6962,0.3746,0.1519,0.1081,0.0785,0.0415,0.1028,0.1281,0.332,0.148,0.1474,0.143,0.1616
sub-kLat024,task-sline,run-1,0,NA,0.1014,0.1954,0.2002,0.0919,0.0847,0.0381,0.0759,0.0619,0.0494,0.0768,0.08,0.0496,0.048,0.045,0.0809,0.0788,0.15310000000000001,0.1759,0.1957,0.1176,0.1583,0.0427,0.0535,0.0505,0.0533,0.2063,0.291,0.2137,0.1774,0.1384,0.1203,0.0797,0.027,0.0364,0.0839,0.0555,0.0904,0.0806,0.0593,0.0805,0.0887,0.0594,0.098,0.1119,0.1864,0.2219,0.2725,0.1682,0.2704,0.0906,0.0772,0.0993,0.0424,0.0282,0.0309,0.0345,0.0599,0.0687,0.0505
sub-kLat024,task-sline,run-2,0,NA,0.1422,0.2095,0.1468,0.1533,0.2696,0.2257,0.1638,0.1651,0.1782,0.2007,0.1311,0.0834,0.04,0.0646,0.0636,0.1581,0.1355,0.1328,0.2242,0.2283,0.3857,0.0503,0.0564,0.0604,0.035,0.054,0.1176,0.0403,0.125,0.3493,0.2647,0.1321,0.0801,0.1743,0.1233,0.0712,0.05,0.0433,0.0442,0.0642,0.045,0.0641,0.1712,0.2934,0.1515,0.1197,0.2201,0.2465,0.1345,0.0731,0.062,0.0781,0.0763,0.0487,0.0506,0.0136,0.0729,0.2233,0.2045
sub-kLat024,task-sline,run-3,0,NA,0.1168,0.1344,0.0372,0.0751,0.1082,0.2415,0.298,0.1555,0.0915,0.0516,0.0476,0.0264,0.0428,0.0626,0.0678,0.0416,0.0544,0.1325,0.3337,0.2624,0.0955,0.0594,0.0728,0.0509,0.1007,0.1113,0.0885,0.0612,0.1113,0.3565,0.2774,0.43120000000000003,0.1331,0.0732,0.0701,0.1311,0.1542,0.1405,0.0229,0.0427,0.047,0.0601,0.162,0.1469,0.0341,0.0358,0.161,0.2062,0.1018,0.0582,0.0747,0.0718,0.081,0.0677,0.045,0.0183,0.2148,0.3292,0.2807
sub-kLat024,task-sline,run-4,0,NA,0.1155,0.0654,0.1038,0.2345,0.1446,0.1137,0.0894,0.125,0.1177,0.0929,0.0393,0.0888,0.1522,0.2532,0.1276,0.1626,0.0819,0.0914,0.0914,0.0403,0.0577,0.1959,0.0371,0.0602,0.051,0.0489,0.0795,0.0598,0.0612,0.0483,0.0305,0.1086,0.1542,0.3392,0.3241,0.1934,0.1213,0.0856,0.2428,0.1821,0.1482,0.0205,0.0458,0.0312,0.0619,0.0722,0.1131,0.0801,0.0821,0.049,0.0726,0.0786,0.0299,0.0538,0.0441,0.0328,0.0445,0.0449,0.1471
sub-kLat027,task-sline,run-1,0,NA,0.173,0.4971,0.5102,0.2926,0.1346,0.4617,0.2524,0.1785,0.1814,0.2051,0.3383,0.1758,0.1815,0.2212,0.7144,0.4238,0.1496,0.2582,0.1651,0.377,0.7408,0.2037,0.187,0.6724,0.1439,0.1079,0.252,0.2641,0.294,0.5629,0.0923,0.0974,0.0698,0.1817,0.2062,0.1503,0.115,0.1021,0.1476,0.137,0.0844,0.1136,0.1783,0.0918,0.231,0.437,0.1375,0.1005,0.1961,0.162,0.101,0.1104,0.1724,0.179,0.1225,0.1156,0.1991,0.328,0.3542
sub-kLat027,task-sline,run-2,0,NA,0.1529,0.3007,0.2072,0.0911,0.1221,0.6045,0.4145,0.5173,0.4664,0.46,0.3552,0.197,0.4274,0.742,0.5684,0.8212,0.7105,0.1466,0.7113,0.2933,0.2304,0.3456,0.2878,0.3172,0.399,0.4561,0.6433,0.4746,0.6595,0.7345,0.3131,0.5389,0.3853,0.3434,0.1527,0.3014,0.6182,0.808,0.6792,0.3129,0.3683,0.6792,0.6442,0.7285,0.7626,0.835,0.6041,0.1979,0.2699,0.2995,0.0232,0.0479,0.1498,0.0853,0.0942,0.1443,0.4777,0.2912,0.2242
sub-kLat027,task-sline,run-3,0,NA,0.2148,0.2088,0.1424,0.338,0.5962,0.2315,0.1999,0.2492,0.6673,0.1542,0.1044,0.0645,0.0831,0.0872,0.3825,0.429,0.2693,0.3822,0.3722,0.1516,0.0626,0.1006,0.0881,0.0733,0.0538,0.1025,0.0406,0.0578,0.2142,0.1125,0.2391,0.6425,0.4687,0.5278,0.1901,0.0652,0.1339,0.093,0.1802,0.1584,0.177,0.2059,0.3251,0.2084,0.5231,0.2788,0.0814,0.1021,0.0792,0.0541,0.0971,0.1222,0.1082,0.0585,0.1456,0.179,0.1085,0.1732,0.1486
sub-kLat057,task-sline,run-3,0,NA,0.0591,0.4314,0.7923,0.6938,0.3645,0.4973,0.2143,0.2983,0.1872,0.1365,0.0499,0.0222,0.0793,0.1357,0.2819,0.1962,0.113,0.262,0.2581,0.1244,0.1356,0.2641,0.1488,0.1417,0.1753,0.1861,0.1978,0.2078,0.205,0.3728,0.1917,0.1029,0.1155,0.3698,0.176,0.117,0.1119,0.141,0.1201,0.0791,0.0849,0.0928,0.1032,0.1216,0.1695,0.1365,0.1413,0.0987,0.1593,0.0963,0.1238,0.1905,0.1847,0.107,0.12,0.172,0.1803,0.1509,0.1609
sub-kLat057,task-sline,run-4,0,NA,0.0825,0.2973,0.5938,0.1674,0.1486,0.1408,0.1513,0.0949,0.101,0.1371,0.1993,0.1948,0.1483,0.1121,0.1692,0.098,0.1097,0.2385,0.1679,0.1143,0.1375,0.2094,0.2162,0.119,0.0981,0.1485,0.0595,0.1097,0.1163,0.0673,0.1223,0.218,0.1922,0.1363,0.0659,0.0989,0.1176,0.1476,0.1305,0.1369,0.1767,0.1279,0.1727,0.238,0.1456,0.1949,0.1389,0.2094,0.2551,0.1022,0.1678,0.1538,0.1432,0.1562,0.2791,0.6355,0.9107,0.448,0.0968
sub-kLat058,task-sline,run-2,0,NA,0.1837,0.3168,0.4269,0.2629,0.7207,0.4443,0.3497,0.8079,0.3162,0.5922,0.1966,0.1597,0.2081,0.2674,0.2195,0.3151,0.3915,0.3009,0.7896,0.1605,0.3141,0.3681,0.2402,0.0886,0.2329,0.1944,0.2716,0.3201,0.1431,0.36,0.4246,0.2662,0.5061,0.3282,0.2082,0.1853,0.2808,0.3099,0.4794,0.0335,0.1892,0.3651,0.7109,0.1592,0.2569,0.2623,0.2814,0.1519,0.0932,0.3613,0.4533,0.2513,0.3224,0.1277,0.2739,0.3197,0.2693,0.2316,0.4384
sub-kLat059,task-sline,run-1,0,NA,0.1045,0.1222,0.2122,0.2988,0.498,0.2414,0.6004,0.2815,0.1307,0.178,0.2019,0.1994,0.2305,0.231,0.2636,0.3348,0.1316,0.2595,0.4866,0.315,0.4901,0.0787,0.1308,0.1619,0.4051,0.2212,0.6617,0.5722,0.3559,0.1524,0.2644,0.1949,0.2415,0.1462,0.3259,0.189,0.0889,0.1058,0.0683,0.2047,0.1883,0.1243,0.1278,0.3045,0.5457,0.0956,0.3607,0.1025,0.2371,0.2129,0.6036,0.3101,0.1318,0.0893,0.0814,0.1362,0.1527,0.2229,0.2324
sub-kLat008,task-sline,run-4,0.016666666666666666,NA,0.1316,0.1286,0.0727,0.1328,0.4262,0.2512,0.5357,0.1669,0.047,0.0873,0.0568,0.0219,0.0894,0.135,0.1143,0.1091,0.1607,0.8085,0.542,0.1736,0.1762,0.069,0.0611,0.1694,0.274,0.4894,0.1631,0.1193,0.2328,0.354,0.1228,0.1863,0.199,0.2546,0.1084,0.1077,0.104,0.069,0.1048,0.0292,0.0358,0.0896,0.1261,0.0773,0.1359,0.2773,0.3406,0.9551,1.3338,0.3395,0.3526,0.4983,0.1036,0.0978,0.1659,0.115,0.2789,0.2737,0.2902
sub-kLat016,task-sline,run-1,0.016666666666666666,NA,0.198,0.5615,0.193,0.4286,0.1975,0.1218,0.032,0.0634,0.0728,0.0935,0.0508,0.048,0.108,0.12,0.4538,0.8945,1.1144,0.906,0.4548,0.5063,0.2139,0.0777,0.1336,0.098,0.1233,0.0808,0.147,0.0999,0.1855,0.1462,0.1395,0.1181,0.1474,0.2597,0.3922,0.6035,0.1699,0.1541,0.1467,0.078,0.1109,0.1673,0.0929,0.1133,0.0836,0.0407,0.0642,0.0886,0.1194,0.0363,0.1183,0.0497,0.1,0.2006,0.0878,0.0669,0.2,0.1913,0.074
sub-kLat016,task-sline,run-3,0.016666666666666666,NA,0.7827,1.2178,0.3556,0.6529,0.2784,0.1574,0.2574,0.1335,0.0666,0.1297,0.0428,0.0084,0.038,0.1328,0.156,0.2356,0.1357,0.6877,0.4498,0.1752,0.1654,0.147,0.1795,0.1155,0.1316,0.0802,0.0847,0.0834,0.1485,0.0499,0.1541,0.2481,0.194,0.415,0.6955,0.4563,0.2814,0.1908,0.0381,0.0439,0.0797,0.0981,0.1228,0.0989,0.0838,0.0958,0.2065,0.1091,0.1383,0.074,0.0834,0.071,0.0639,0.0526,0.0914,0.0962,0.1925,0.2006,0.3277
sub-kLat025,task-sline,run-4,0.016666666666666666,NA,0.0189,0.3171,0.7409,0.4921,0.9649,1.3604,0.6462,0.4573,0.3398,0.6146,0.1733,0.1939,0.446,0.1559,0.4257,0.3003,0.2136,0.3347,0.7271,0.2323,0.3754,0.0507,0.1924,0.4453,0.1522,0.1307,0.2472,0.148,0.275,0.393,0.1611,0.1165,0.0567,0.1336,0.41,0.1152,0.0729,0.1783,0.2333,0.1971,0.2308,0.1284,0.1388,0.2811,0.1815,0.31,0.7013,0.6852,0.1374,0.1383,0.1506,0.0699,0.1175,0.1735,0.0375,0.1513,0.4385,0.2354,0.1338
sub-kLat028,task-sline,run-4,0.016666666666666666,NA,0.8309,0.8771,0.5144,0.64,0.2899,0.302,0.3458,0.3682,0.8492,0.8837,0.6156,0.2996,0.1865,0.3731,0.6018,0.5199,0.8079,0.9946,0.4041,0.4239,0.3109,0.3119,0.7415,0.4255,0.244,0.277,0.1381,0.2202,0.5067,0.3305,0.1616,0.5586,0.8939,1.0686,0.4248,0.3223,0.2323,0.3203,0.4017,0.3004,0.2887,0.1488,0.2453,0.143,0.3308,0.3279,0.3369,0.4744,0.2072,0.0759,0.1306,0.1406,0.1738,0.2698,0.282,0.1109,0.3433,0.2473,0.4382
sub-kLat029,task-sline,run-1,0.016666666666666666,NA,0.2709,0.3,0.3437,0.6105,0.2952,0.3807,0.2246,0.0662,0.0582,0.059,0.031,0.0816,0.1161,0.059,0.9094,0.7398,0.9585,0.4843,0.3784,0.3738,0.588,0.218,0.0933,0.0366,0.0678,0.08,0.1349,0.0979,0.8607,1.508,0.7889,0.2027,0.2467,0.3268,0.4982,0.1132,0.1048,0.2143,0.1753,0.1137,0.0282,0.1331,0.5873,0.6647,0.3089,0.352,0.1656,0.2552,0.297,0.0665,0.072,0.0801,0.1593,0.2269,0.1417,0.0981,0.1379,0.1177,0.1692
sub-kLat015,task-sline,run-4,0.03333333333333333,NA,0.4733,0.5394,0.2144,0.2632,0.4661,0.6791,0.1483,0.0796,0.1283,0.1111,0.0811,0.0966,0.0752,0.0574,0.3933,0.4156,0.13,0.4786,1.0537,1.6645,0.7455,0.1333,0.097,0.114,0.117,0.0932,0.0879,0.1637,0.5141,0.9423,0.0908,0.4918,0.101,0.1416,0.141,0.1248,0.1463,0.1637,0.0788,0.1726,0.1841,0.4917,0.3588,0.6036,0.1356,0.4456,0.649,0.3952,0.1376,0.2451,0.0787,0.0432,0.0702,0.0851,0.0237,0.1194,0.1494,0.4323,0.8791
sub-kLat016,task-sline,run-2,0.03333333333333333,NA,0.0714,0.0754,0.0699,0.0814,0.1067,0.0799,0.1761,0.0955,0.0407,0.0418,0.0977,0.0555,0.043,0.0358,0.0549,0.1266,0.2459,0.7031,1.1701,1.9183,0.7154,0.0891,0.1089,0.0821,0.1583,0.1014,0.0676,0.0747,0.2195,0.2051,0.4753,0.4313,0.1097,0.4691,0.1306,0.0561,0.0607,0.1005,0.0534,0.0469,0.0929,0.0897,0.1771,0.1403,0.467,0.2933,0.1645,0.0762,0.0979,0.2136,0.6864,0.4387,0.0834,0.0468,0.0424,0.0385,0.2225,0.2752,0.2466
sub-kLat023,task-sline,run-2,0.03333333333333333,NA,0.1091,0.1962,0.1081,0.2483,0.396,0.5994,0.2323,0.102,0.0461,0.112,0.1035,0.1256,0.0738,0.1316,0.2305,0.2153,0.5524,0.4584,0.1627,0.2641,0.2534,0.0939,0.0901,0.1999,0.3685,0.1412,0.1569,0.12,0.0922,0.135,0.1438,0.1206,0.1456,0.1803,0.1022,0.1421,0.1055,0.1179,0.0652,0.0822,0.6278,1.3888,1.1115,0.3902,0.2146,0.1599,0.1352,0.1472,0.2336,0.2665,0.3522,0.2563,0.1181,0.3074,0.0605,0.0822,0.1092,0.1046,0.10780000000000001
sub-kLat023,task-sline,run-4,0.03333333333333333,NA,0.1152,0.134,0.13,0.0252,0.0184,0.073,0.1836,0.146,0.1027,0.0962,0.0779,0.3167,0.4947,0.3516,0.0594,0.066,0.0835,0.7414,1.0884,0.5719,0.2389,0.0997,0.1168,0.1079,0.1477,0.1149,0.0596,0.055,0.1141,0.1134,0.1297,0.2087,0.4889,1.0964,0.555,0.182,0.1197,0.0743,0.0651,0.1016,0.0789,0.0507,0.2417,0.623,0.3856,0.1969,0.2747,0.1136,0.0422,0.1811,0.2624,0.253,0.1853,0.0574,0.0882,0.1005,0.0902,0.1875,0.1314
sub-kLat034,task-sline,run-4,0.03333333333333333,NA,0.0654,0.2703,0.0886,0.186,0.1458,0.097,0.1109,0.4011,0.0816,0.1016,0.1562,0.1586,0.227,0.3156,0.363,0.3771,0.3963,0.1445,0.1649,1.1275,1.644,0.6104,0.5654,0.1258,0.1566,0.0689,0.1205,0.1371,0.4549,0.8233,0.3183,0.3039,0.6742,0.73,0.5188,0.2279,0.1582,0.3226,0.1482,0.2532,0.2524,0.0885,0.1998,0.2959,0.6016,0.2928,0.4296,0.4572,0.1724,0.0672,0.1761,0.1932,0.7197,0.7111,0.7512,0.2335,0.8387,0.8376,0.656
sub-kLat051,task-sline,run-1,0.03333333333333333,NA,0.0693,0.0811,0.0453,0.3347,0.6793,0.2944,0.4177,0.3614,0.6022,0.2632,0.177,0.1301,0.1046,0.3305,0.9133,0.9241,0.5017,0.0284,0.1276,0.6293,0.6806,0.2442,0.33,0.6089,0.1552,0.2599,0.186,0.1497,0.1776,0.267,0.408,0.2832,0.3491,0.7834,0.3084,0.357,0.2921,0.8114,3.0951,2.514,0.838,0.2784,0.3368,0.1978,0.9451,0.986,0.4906,0.1827,0.3389,0.3282,0.209,0.1578,0.0799,0.0479,0.0771,0.1452,0.2575,0.2488,0.43120000000000003
sub-kLat051,task-sline,run-4,0.03333333333333333,NA,0.1773,0.0973,0.3217,0.4049,0.4082,0.1971,0.5784,0.1982,0.1722,0.5516,0.4577,0.2355,0.0908,0.1066,0.0888,0.2058,0.6019,0.7407,1.0789,1.2348,0.6877,0.141,0.1144,0.2197,0.1408,0.076,0.1174,0.0915,0.2417,0.3093,0.4068,0.5888,0.527,0.4157,0.6701,0.1754,0.1207,0.2459,0.21560000000000001,0.2491,0.2888,0.0753,0.1625,0.1293,0.2675,0.3798,0.7422,0.1111,0.865,0.8907,0.1501,0.2232,0.6315,0.232,0.1428,0.1641,0.0708,0.2391,0.3292
sub-kLat003,task-sline,run-2,0.05,NA,0.2946,0.9015,0.6162,0.0693,0.0989,0.1463,0.3567,0.5764,0.1813,0.1496,0.1117,0.0643,0.1739,0.151,0.2526,0.6557,2.0641,1.9367,0.7592,0.5285,0.4804,0.2657,0.1578,0.1825,0.086,0.1779,0.0945,0.1387,0.3673,0.6624,0.4652,0.3387,0.4843,0.5307,0.3663,0.1722,0.6311,0.9915,0.6681,0.1617,0.4571,0.2897,0.5229,0.6328,0.1497,0.4143,1.0162,0.9044,0.5331,0.6101,0.0622,0.1963,0.1162,0.1355,0.255,0.1388,0.3435,0.4609,0.5577
sub-kLat013,task-sline,run-3,0.05,NA,0.3792,0.4929,0.1806,0.4208,0.1338,0.1755,0.1016,0.1601,0.1688,0.0647,0.155,0.1591,0.1715,0.108,0.1208,0.0518,0.083,0.1146,0.3312,0.5745,0.2512,0.3942,0.8054,0.5407,0.0772,0.2058,0.1776,0.1004,0.0832,0.0967,0.1033,0.1741,0.1213,0.0877,0.0893,0.054,0.0523,0.0601,0.0488,0.0553,0.0461,0.0937,0.393,0.2073,0.2327,0.7754,5.1608,9.4751,4.4361,0.3016,0.2231,0.1008,0.1927,0.3207,0.1632,0.1432,0.0742,0.0779,0.10780000000000001
sub-kLat013,task-sline,run-4,0.05,NA,0.0939,0.2286,0.3701,0.3717,0.5337,0.2458,0.0492,0.0821,0.3387,0.0459,0.0766,0.0952,0.2058,0.2949,0.0762,0.0335,0.0633,0.1136,0.9275,1.3058,0.4964,0.1177,0.1975,0.1386,0.1524,0.1254,0.0699,0.0556,0.0579,0.0785,0.0837,0.18,1.0224,1.7332,0.7721,0.1603,0.1305,0.1588,0.1312,0.167,0.1166,0.2058,0.6347,0.5487,0.4112,0.2359,0.1552,0.4363,0.5423,0.1599,0.088,0.0795,0.0793,0.0503,0.2004,0.6663,0.5076,0.1335,0.1741
sub-kLat015,task-sline,run-1,0.05,NA,0.1131,0.1687,0.1152,0.1304,0.0626,0.1251,0.0606,0.1068,0.0602,0.0509,0.0748,0.146,0.1755,0.0894,0.1018,1.5183,2.3824,0.877,0.1001,0.1116,0.1022,0.1289,0.0722,0.0595,0.088,0.0641,0.1224,0.152,0.4637,0.7419,0.3196,0.5413,0.6769,0.9518,0.8581,0.5294,0.2612,0.2164,0.185,0.0608,0.0525,0.1053,0.4548,0.9876,0.8307,0.1603,0.8088,0.7787,0.1574,0.3987,0.2211,0.1097,0.1062,0.1024,0.1537,0.1059,0.2675,0.3048,1.2453
sub-kLat036,task-sline,run-1,0.05,NA,0.8386,0.1847,1.1296,0.3105,0.718,0.3598,0.2273,0.1019,0.4926,0.2256,0.1188,0.1066,0.2797,0.1655,0.5985,0.4668,0.9789,1.7968,2.5567,0.5138,0.7376,0.2079,0.6898,0.1697,0.5995,0.1233,0.25,0.1237,0.5902,0.3205,0.8931,0.2883,0.3543,0.5327,0.8628,0.4193,0.5455,0.2531,0.8365,0.1575,0.2265,0.1444,0.4389,0.4573,0.3635,0.2418,0.8369,0.3855,0.5836,0.1685,0.8992,0.0744,0.2757,0.1965,0.6048,0.0708,0.6145,0.3638,0.4065
sub-kLat005,task-sline,run-1,0.06666666666666667,NA,0.2116,0.2347,0.1685,0.3993,0.6509,0.8226,0.4741,0.6367,0.5025,0.2489,0.0722,0.1771,0.1321,0.1426,0.4969,2.6222,3.6306,1.1402,1.3093,0.9018,0.823,0.8855,0.1127,0.2596,0.1372,0.0826,0.0741,0.11,0.216,0.3351,0.1595,0.3669,0.4124,0.1684,0.1251,0.4608,0.2057,0.1972,0.1365,0.1393,0.0752,0.1342,0.1108,0.3169,0.2991,0.206,0.6425,0.1912,0.09,0.49,0.0789,0.0402,0.0683,0.0988,0.087,0.2229,0.2512,0.222,0.1304
sub-kLat018,task-sline,run-3,0.06666666666666667,NA,0.0917,0.0792,0.1222,0.1383,0.1853,0.224,0.2455,0.1377,0.1522,0.1305,0.0508,0.1229,0.0924,0.135,0.3098,0.3257,0.4422,0.192,0.2011,0.2351,0.2274,0.2752,0.0981,0.1169,0.2179,0.1803,0.2302,0.1695,0.1893,0.1931,0.2106,0.2903,0.371,0.185,0.1053,0.1953,0.0983,0.1151,0.1624,0.1235,0.2086,0.2309,0.2658,0.9298,0.5847,0.1395,0.6619,0.8339,0.2995,0.5003,0.2286,0.186,0.0417,0.1106,0.7095,5.476,10.2564,4.8797,2.3803
sub-kLat022,task-sline,run-3,0.06666666666666667,NA,0.223,0.3645,0.1323,0.0908,0.5733,0.9634,0.6858,0.1884,0.1208,0.035,0.0871,0.0963,0.3982,0.0641,2.6415,3.1519,0.5277,0.9324,1.0925,0.5526,0.1156,0.0781,0.0542,0.3597,0.1932,0.1413,0.0802,0.0899,0.33,0.8435,1.254,0.9072,0.2258,0.1119,0.0843,0.0724,0.081,0.0612,0.0687,0.0581,0.0515,0.1083,0.0953,0.0594,0.1732,0.9139,0.6704,0.5802,0.457,0.0785,0.1068,0.1998,0.1352,0.128,0.2685,0.7154,0.5824,0.8458,0.367
sub-kLat029,task-sline,run-2,0.06666666666666667,NA,0.0628,0.1069,0.1292,0.1416,0.1549,0.0955,0.029,0.0269,0.0388,0.1069,0.086,0.034,0.1142,0.1569,1.0339,0.8842,1.7272,0.4829,0.1495,0.1899,0.119,0.1086,0.0942,0.067,0.0844,0.1022,0.0885,0.0994,0.6359,1.1567,0.1771,0.1451,0.079,0.128,0.0678,0.0828,0.0577,0.0674,0.0791,0.0859,0.1004,0.094,0.8161,1.1392,0.2432,0.4384,0.355,0.3241,0.1648,0.0668,0.053900000000000003,0.0429,0.0298,0.1117,0.0824,0.1831,0.3036,0.3126,0.2304
sub-kLat057,task-sline,run-2,0.06666666666666667,NA,0.2094,0.1983,0.152,0.1251,0.5291,1.0118,0.9033,0.1808,0.179,0.2804,0.1617,0.1089,0.0788,0.0976,0.2456,0.2547,0.1695,0.2475,0.5053,0.3206,1.8386,3.1651,1.2149,0.1784,0.4995,0.1852,0.1885,0.22,0.2071,0.2006,0.29,0.2554,0.2219,0.3183,0.3024,0.1174,0.0996,0.1542,0.6412,0.3294,0.1926,0.1708,0.1983,0.2112,0.2061,0.3702,0.5712,0.6127,0.1176,0.0596,0.1457,0.2552,0.5181,0.3357,0.261,0.1447,0.1659,0.1599,0.2238
sub-kLat058,task-sline,run-3,0.06666666666666667,NA,0.6307,1.1519,1.7172,0.7372,0.3382,0.1529,0.4737,0.1931,0.1982,0.1765,0.3496,0.2479,0.3723,0.3293,0.4219,0.1696,0.241,0.5462,1.448,1.1035,0.3166,0.4266,0.3495,0.299,0.2055,0.298,0.1435,0.2301,0.4926,0.2486,0.2217,0.3271,0.4283,0.1379,0.3513,0.2597,0.1889,0.5331,0.3453,0.0619,0.1417,0.2191,0.3199,0.2763,0.2699,0.25,0.2443,0.768,0.3145,0.1722,0.431,0.2548,0.2252,0.3284,0.2848,0.3509,0.2958,0.2024,0.1815
sub-kLat006,task-sline,run-1,0.08333333333333333,NA,0.0649,0.1229,0.1389,0.0715,0.1237,0.0987,0.1382,0.1054,0.0797,0.0412,0.0458,0.1191,0.0846,0.0566,0.0628,0.0797,0.3651,0.1792,0.222,0.1392,0.1405,0.0811,0.0799,0.1069,0.1064,0.4988,1.7821,1.3324,3.7583,7.8371,3.8165,0.6157,0.1794,0.1044,0.1185,0.0871,0.0908,0.072,0.0933,0.1197,0.0977,0.0805,0.1103,0.0719,0.0879,0.6349,0.9247,0.397,0.1286,0.4079,0.1836,0.0883,0.0513,0.0912,0.1385,0.075,0.0954,0.097,0.0951
sub-kLat015,task-sline,run-2,0.08333333333333333,NA,2.0653,2.7849,2.5188,2.3589,0.7213,0.2666,0.0521,0.0971,0.1652,0.1398,0.1386,0.1112,0.0284,0.0997,0.1671,0.6507,0.6061,0.2713,0.0631,0.1085,0.0802,0.0681,0.1047,0.052,0.1027,0.3271,0.5664,0.6767,0.2767,0.1919,0.1246,0.139,0.5616,0.2105,0.0686,0.1237,0.1213,0.0759,0.0803,0.3156,0.4012,0.1141,0.2241,0.3955,0.1192,0.0998,0.11,0.1258,0.1145,0.1032,0.092,0.0498,0.072,0.0667,0.082,0.0483,0.1757,0.1647,1.8941
