sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60
sub-kLat058,task-sline,run-1,0.31666666666666665,NA,0.444,2.4934,5.9963,3.8623,0.9864,0.6892,1.5685,2.117,3.1625,1.3862,0.2036,0.1751,0.0967,0.264,0.2427,0.1564,0.2693,0.5083,5.5089,10.7261,7.3924,2.7023,2.2267,6.6329,6.0787,13.723,9.6708,1.3296,0.9444,1.4116,2.238,0.8945,0.3298,0.134,0.4113,0.2394,0.2883,0.5062,0.9977,0.2666,0.1629,0.5233,0.2253,0.2027,0.4001,0.3789,0.2913,0.2658,0.2835,0.5955,0.2605,0.265,0.2561,0.1765,0.2784,0.2795,0.2094,0.2022,0.1756
sub-kLat036,task-sline,run-3,0.3333333333333333,NA,0.3027,0.5638,0.3997,0.4169,0.8997,0.5868,1.4487,0.1576,1.28,0.1766,0.3374,0.1936,0.8001,0.2649,0.5481,0.8039,0.5602,2.6265,1.3043,0.5572,2.7502,0.3102,1.06,0.3066,0.6371,0.3302,1.1452,1.7931,2.0164,0.7321,3.0873,1.5224,0.8733,1.2296,0.9553,0.1295,0.7031,0.5738,1.2743,0.0675,1.2125,0.3866,0.9444,0.2819,0.6799,0.2786,1.0763,0.2686,1.2613,0.1264,0.6489,0.1556,2.3071,2.4987,3.8304,0.4621,4.3873,0.454,0.9583
sub-kLat038,task-sline,run-6,0.3333333333333333,NA,2.1137,2.7254,0.9236,0.4972,0.301,2.4847,6.2913,4.0979,0.2044,0.4223,0.4118,0.1376,0.3752,0.9387,1.0029,1.1322,1.0758,0.3043,1.155,0.9136,1.2732,0.574,0.2312,0.1024,0.2406,0.1528,0.51,0.2189,0.1537,0.2072,0.1398,2.6803,2.6573,7.2362,9.0361,3.1815,0.225,0.494,1.1371,1.8051,0.4893,0.362,0.7252,0.6583,0.8471,0.4289,0.1923,1.0375,2.2167,1.3562,0.458,0.4493,0.2088,0.1829,0.2861,0.3582,0.9421,0.5002,0.6243
sub-kLat026,task-sline,run-4,0.35,NA,4.137,4.4111,1.9523,0.6199,0.5064,1.1218,1.0219,0.8979,1.0313,0.3395,0.3654,0.4032,0.53,0.3121,0.1931,0.626,0.4037,1.1545,1.4439,1.5797,1.7671,1.3844,0.7883,0.468,0.6122,0.3131,0.1765,0.3361,0.7693,1.1585,1.6702,0.4681,0.4291,0.2851,0.1563,0.1963,0.1119,0.4412,1.0068,0.6401,0.2811,0.6428,0.6972,1.1358,0.4213,1.1285,1.0523,0.8228,1.3449,0.2613,0.6254,0.2264,0.1185,0.1581,0.4559,0.1557,1.5712,2.5434,1.1835
sub-kLat009,task-sline,run-2,0.36666666666666664,NA,0.8895,0.7487,0.5191,1.349,2.054,1.5158,0.5464,0.5517,0.0671,0.124,0.3755,0.2893,0.2606,3.0922,5.8019,2.8445,0.8332,1.7202,2.0596,7.8108,4.879,0.793,0.4857,0.3231,0.2271,0.2715,0.145,0.0926,2.5922,4.5783,3.1705,1.893,1.3732,0.7196,0.2181,0.2642,0.1855,0.1421,0.1352,0.3104,0.0788,0.2699,0.5406,1.5513,2.1626,1.3171,0.6405,0.9423,1.8396,0.5329,0.1662,0.0822,0.0897,0.2113,0.3816,0.0468,1.1427,2.658,1.866
sub-kLat034,task-sline,run-2,0.36666666666666664,NA,1.7737,1.9705,1.5507,2.2648,1.3975,0.9525,0.4667,0.3611,0.5063,0.6301,0.0608,0.1747,0.1954,0.4591,0.4517,0.2568,0.5139,0.4491,0.4987,1.1615,4.4653,10.1085,5.2936,0.4329,0.1632,0.1398,0.4713,1.1532,0.6426,0.4044,0.4404,1.8206,3.4255,2.9998,2.9663,3.9348,1.8553,1.0787,0.8176,0.847,0.7166,0.2963,0.5272,0.6204,1.5253,1.0618,0.2073,0.379,0.4698,0.572,1.3752,1.6273,0.7061,0.3359,0.6412,0.3253,0.6851,1.1908,0.9089
sub-kLat050,task-sline,run-4,0.36666666666666664,NA,0.2327,0.2732,0.8067,0.7144,0.7965,0.541,1.1782,2.5188,1.5626,0.1961,0.2777,0.7255,0.2232,1.0034,1.5682,0.9589,3.1958,4.422,13.1965,12.9472,5.8582,7.3411,1.3761,0.9435,0.5706,1.153,0.8742,0.6399,0.675,0.6581,1.4141,2.6494,2.0721,1.4646,1.9922,0.5918,0.4639,0.2151,0.1716,0.0508,0.4581,0.468,0.2777,0.3099,0.7794,0.3461,2.5924,4.7381,2.2839,0.3093,0.1586,0.1963,0.241,0.3657,0.2301,0.2335,0.2889,0.7285,1.6302
sub-kLat026,task-sline,run-2,0.38333333333333336,NA,0.9793,1.9477,1.813,0.8383,0.7382,1.2485,1.3695,0.6147,0.2179,0.4553,1.934,3.0137,1.8747,0.5523,0.8086,1.6278,0.8567,1.3097,0.7872,1.1607,1.8699,0.6328,0.2959,0.1911,0.3421,0.2543,0.3489,0.2792,1.1752,1.8,1.182,1.1753,2.1312,3.6878,4.8638,1.5157,0.2548,0.3267,0.6759,1.1439,0.998,0.8619,0.6584,0.9551,0.8077,0.3855,0.7513,0.5165,0.6952,0.4462,0.302,0.3928,0.9481,0.43120000000000003,0.21560000000000001,0.7771,8.5091,9.1605,13.5787
sub-kLat010,task-sline,run-4,0.4,NA,0.2715,0.1789,0.4899,1.8598,1.8709,0.6402,1.0264,1.7011,0.5854,0.2764,0.2556,0.5013,0.9223,0.6458,0.1514,0.2088,0.1617,1.9748000000000001,2.768,0.7795,0.4954,0.9535,1.4002,2.2658,1.4809,0.2738,0.8982,1.2982,0.3435,0.2194,1.1957,1.7736,1.5668,1.1498,0.7903,0.9476,0.2933,0.6188,0.3248,0.4747,0.2609,0.1772,0.5678,0.9159,0.9294,1.8963,4.8624,9.7612,3.3982,2.116,0.4725,0.7068,1.5558,1.6205,1.5011,1.8871,0.8927,1.2034,0.8234
sub-kLat029,task-sline,run-4,0.4,NA,0.2187,0.2145,0.607,0.1848,0.1098,0.3392,1.0434,0.4643,0.1937,0.1477,0.0792,0.1752,0.2268,0.302,3.4649,6.6012,8.3348,8.5387,7.843,4.5384,1.9053,0.4738,0.1288,0.1682,0.0593,0.1126,0.0267,0.3677,0.9991,2.1113,1.8325,0.5953,5.1338,4.0048,3.2059,2.8545,0.4185,0.1465,0.4848,0.2052,0.167,0.1768,1.0542,1.4744,0.8508,1.8809,5.9436,9.3799,3.2083,0.2988,0.1594,0.0662,0.1063,0.4969,0.0921,1.2944,1.4971,5.6507,9.6274
